they have free coffee.|Eles têm café grátis.
please, do not wake her now.|Por favor, não a acorde agora.
there's a hotel close to the village.|Há um hotel perto da aldeia.
i want to see the world.|Quero ver o mundo.
do they like each other?|Eles gostam um do outro?
both places.|Em ambos os lugares.
is that your home address?|Esse é o seu endereço de casa?
her life was really interesting.|A vida dela era muito interessante.
i have already heard that song.|Eu já ouvi essa música.
i have a problem.|Eu tenho um problema.
he's not going to come again.|Ele não vai voltar.
that's one of my favorite memories.|Essa é uma das minhas memórias favoritas.
i need a bigger size.|Preciso de um tamanho maior.
would you like to try on those shoes?|Gostaria de experimentar esses sapatos?
they'll go fishing again.|Vão pescar de novo.
what do they look like?|Como eles se parecem?
the bowls are in the cabinet on the right.|As tigelas estão no armário à direita.
he creates software for a computer company.|ele cria software para uma empresa de computadores.
how much is the tax?|Quanto é o imposto?
she has to finish this version by next monday.|Ela tem que terminar esta versão na próxima segunda-feira.
they work at a university.|Eles trabalham em uma universidade.
joseph was not at work yesterday.|Joseph não estava no trabalho ontem.
that is the best offer i have ever received.|Essa é a melhor oferta que já recebi.
my oldest sister lives in the uk.|Minha irmã mais velha mora no Reino Unido.
when can we practice singing?|Quando podemos praticar canto?
this is a nice apartment too.|Este é um bom apartamento também.
my parents spoke spanish at home.|Meus pais falavam espanhol em casa.
my children love winter.|Meus filhos adoram o inverno.
pop is my favorite kind of music.|pop é o meu tipo favorito de música.
i've lost my identification card.|Perdi meu cartão de identificação.
is she a good soccer player?|Ela é uma boa jogadora de futebol?
have you guys ever gone camping?|Vocês já foram acampar?
the answer is on page eighty five.|A resposta está na página oitenta e cinco.
i will find a job tomorrow.|Vou encontrar um emprego amanhã.
that is a really good movie.|É um filme muito bom.
how long will it take to cross the ocean?|Quanto tempo levará para atravessar o oceano?
did he do it by himself?|Ele fez isso sozinho?
what time is dinner?|A que horas é o jantar?
will they exercise tomorrow?|Será que eles vão se exercitar amanhã?
he hasn't met my grandma yet.|Ele ainda não conheceu a minha avó.
i will lose my house.|Vou perder a minha casa.
they've never had a boring party.|Eles nunca tiveram uma festa chata.
we're going to egypt next year.|Vamos para o Egito no próximo ano.
can she pick up all of those plates?|Ela pode pegar todos esses pratos?
has the mouse packed its suitcase yet?|O rato já arrumou a mala?
are you busy tonight?|Está ocupado esta noite?
the flower shop is just before the mall.|A floricultura é logo antes do shopping.
there is a golden key that opens this box.|há uma chave dourada que abre esta caixa.
i had a chat with my best friend.|Tive uma conversa com a minha melhor amiga.
my grandfather gave me his watch.|Meu avô me deu seu relógio.
there are four banks on this street.|Há quatro bancos nesta rua.
the restaurant is inside the hospital.|O restaurante é dentro do hospital.
can i sit here?|Posso sentar-me aqui?
i am here to pay a debt.|Estou aqui para pagar uma dívida.
i will pay in cash.|Pagarei em dinheiro.
i am not as tired as you.|Não estou tão cansada quanto você.
the bear traveled to japan by ship.|O urso viajou para o Japão de navio.
