prompt_2a31191ba2b1450d2f8f74960ee96d1a|they have free coffee.
eles estao comprando cafe ?|0.0

prompt_5cecdefb7e45a2b0c1429089022566a9|please, do not wake her now.
por favor , por que passaria ontem agora|0.0

prompt_9ce533efafbd60f5c48f1673bec8ec60|there's a hotel close to the village.
ha um cobertor vermelho para o topo da estrada ?|0.0

prompt_3785adf89d5b63317dc37c1cb9074858|i want to see the world.
eu quero ver a resposta ?|0.0

prompt_001169e0b09e761a9d66ee32be5ddad3|do they like each other?
eles gostam de um lapis ?|0.0

prompt_cb379aa6985650174334a193d4bde6ed|is that your home address?
esse e sua casa ?|0.0

prompt_a5ab39d0f00a4935475690f6f4c49358|i have already heard that song.
eu ja jogou aquela musica ?|0.0

prompt_3d9937a2a78749be0aa41dcbc5743277|i have a problem.
eu tenho uma pergunta|0.0

prompt_9617810cf66301cfa33d2ee88ca46680|he's not going to come again.
ele nao vai viajar ate amanha|0.0

prompt_40cf4395efa52a16e61d9208dd68bede|i need a bigger size.
eu preciso de um reino unido|0.0

prompt_40e56b1ced1bcfc5326e9f8d8a7de7d3|would you like to try on those shoes?
voce gostaria de experimentar bananas tambem ?|0.0

prompt_bf708bb9301bad9b3e753a1ac995da16|they'll go fishing again.
eles vao comer amanha ?|0.0

prompt_b6681e3f85b0114ad178964d03b53eef|what do they look like?
que horas eles gostam de ?|0.0

prompt_c23cfb160eb910ba55cd46412410baf2|the bowls are in the cabinet on the right.
os taxis estao na sua terra|0.0

prompt_929b065ae3985c59c26fca7513ebb8f9|how much is the tax?
quanto e o predio ?|0.0

prompt_d0c6601e80e7e86be373478624721e63|she has to finish this version by next monday.
ela tem esperado por uma carta na floresta|0.0

prompt_6757f352dea3972982ae9d7e4b661ceb|they work at a university.
eles trabalham em uma universidade|0.6161058290321834

prompt_b47161fbfeb0e57b9ce07fc64a745159|joseph was not at work yesterday.
por meu amigo no trabalho no dia !|0.0

prompt_2a7691241a76252c4f979f22d7002156|that is the best offer i have ever received.
aquele e o rato se encontraram e o aeroporto no aeroporto no aeroporto ?|0.0

prompt_d897fa683529a93c4bcecb3ad5db1724|my oldest sister lives in the uk.
minha comida estavam aprendendo no japao|0.0

prompt_75b2b2a41d76c754f980ccd67e5cc30e|when can we practice singing?
quando voce pode fazer hoje ?|0.0

prompt_1c25416284e88ef7a4d112127fb89c39|this is a nice apartment too.
este e um problema serio de sapatos ?|0.0

prompt_76100515a96ad884f2dc024486172ed1|my parents spoke spanish at home.
meus pais pelo menos noite passada|0.0

prompt_1462d0aeb800304f1fb66d5a0bf5d5c7|my children love winter.
minha esposa dos estados unidos esta da manha|0.0

prompt_d22bc7db377d332db9c4f2c1bc708617|pop is my favorite kind of music.
ha um banho de la ?|0.0

prompt_b3dcfe93b2a74b295ee772f474bb4747|is she a good soccer player?
ela e uma capa de comida neste campo ?|0.0

prompt_10f89b16815409f3084aac74f4141e10|have you guys ever gone camping?
voces ja foram pagar ?|0.0

prompt_cc4e43615b47662e095f506441321a54|the answer is on page eighty five.
a resposta e no preco cinco anos|0.0

prompt_d8cfc9e873d7c069d25311015bb6b345|i will find a job tomorrow.
eu vou encontrar a acrescentar agora ?|0.0

prompt_a64dd4804e79b37aa83e9e9057cfe80e|that is a really good movie.
esse e um bom tao perto ?|0.0

prompt_c205277d6d2b54505fd13b77d3a50e2e|how long will it take to cross the ocean?
quanto tempo vai para o livro para a manha ?|0.0

prompt_dfba22fdba55d78bc540c91eaad50579|did he do it by himself?
ele terminara isso ?|0.0

prompt_315a04e3cc7b3f6c5ec7ad7bd9fd089b|what time is dinner?
o que esta o seu cavalo ?|0.0

prompt_4c3a64219bf8de73c9ad9c527f98f44f|will they exercise tomorrow?
eles vao dancar ?|0.0

prompt_9d3a4293bfd824a802d17b4cfff207e5|he hasn't met my grandma yet.
ele nao conheceu meus pais desde sexta feira !|0.0

prompt_0629b832f290adcaee9b0a65e10c2f22|i will lose my house.
eu estarei em uma casa|0.0

prompt_3082bc7c5726dec4807e5c5771411f17|they've never had a boring party.
eles nunca tiveram um pouco de biologia ?|0.0

prompt_2c95ac17d4c9f467d979485c685a2113|we're going to egypt next year.
nos estamos indo para o hotel ?|0.0

prompt_b5938468895ba645c79714a22004a42c|can she pick up all of those plates?
eu deveria experimentar estas novos novos dele ?|0.0

prompt_2fdc5640e82555271163a3c7fabe3e8c|has the mouse packed its suitcase yet?
o rato estava aberta ?|0.0

prompt_f55aef2429df8ae4f31b598f065e29f4|are you busy tonight?
voce esta vindo ?|0.0

prompt_b61f8811b5575744b9a0591b56b81000|the flower shop is just before the mall.
o aniversario e tao longa o suficiente|0.0

prompt_d4744390a37dd93e5db270c6221b6481|there is a golden key that opens this box.
ha uma agencia que este hotel ?|0.0

prompt_4f4570614bf161533fcdc2e796e725c7|i had a chat with my best friend.
eu tomei um papo com meu filho|0.0

prompt_2e7542225fc5bba9ef4a6bb4d4ddfc57|my grandfather gave me his watch.
meu avo conheceu sua mae ?|0.0

prompt_26c84d97e147910c76e52e5913dfb036|there are four banks on this street.
ha arvores nesta salada|0.0

prompt_4dbb1424eb0cd94783a8e9d7da189893|the restaurant is inside the hospital.
o colar esta e no cafe|0.0

prompt_315baf33fb2d55b96e38725937a74256|can i sit here?
eu posso me trazer aqui ?|0.0

prompt_ada4ca1855ecec1d1a6a3bbaa30a18cc|i will pay in cash.
eu carregarei isso de musica de bolo !|0.0

prompt_b9a16e9162a7ebd98181d352b361bca5|i am not as tired as you.
eu nao sou mais sentar quanto ?|0.0

prompt_128909a1eb8c27f91d3c6fdd00d3909e|the bear traveled to japan by ship.
o urso comeu para o acidente toda semana !|0.0

prompt_48391433d48a39a17faa6a2bb6111d6b|the dog ate my burger!
o cachorro comeu minha minha cabeca !|0.0

prompt_171db575d7133aec624e3fd10c48b32c|why did you stay at that job?
por que voce escolheu a india para o churrasco ?|0.0

prompt_f0dbce12449d22261e2a80630d0fe2f0|tom has lost every match since then.
que horas comecara em musica tudo !|0.0

prompt_c3c63ca1feefdc89706ac0f5df21bd6b|do they have jobs?
eles tem planos ?|0.0

prompt_a90f042804669abb6693cc87a487cd38|the vegetables from the supermarket are not very fresh.
o treinamento dele e muito|0.0

prompt_daed135451139e01a5dc268d5c64cc5c|i am getting my diploma next week.
eu estou viajando para aquele filme nacional ?|0.0

prompt_7d68d3af043b4de9e0373c50a18137a4|we might win this game.
pode ser que nos trazer aquele curso de aniversario ?|0.0

prompt_f8ab1a9fba25df918ca760dd1c3b2590|let's make omelets for breakfast.
