English|Portugese
they have free coffee.|eles tem meloes e cafe
please, do not wake her now.|por mim , nao vendem sentir a sua momento
there's a hotel close to the village.|ha um banco hoje a construcao
i want to see the world.|eu quero ver o um hospital
do they like each other?|eles gostam de mais um outro ?
is that your home address?|esse e sua casa do seu ?
i have already heard that song.|eu ja tenho sido quarto essa resposta
i have a problem.|tenho um copo de escrever
he's not going to come again.|ele nao vai vir novamente
i need a bigger size.|eu preciso de um envelope maior
would you like to try on those shoes?|voce gostaria de experimentar estes calcados ?
they'll go fishing again.|eles vao fazer uma vez mais
what do they look like?|o que eles estao a se parece ?
the bowls are in the cabinet on the right.|os potes estao no o restaurante no mar
how much is the tax?|quanto e o preco do concurso ?
she has to finish this version by next monday.|ela tem que terminar este numero de futebol no proximo ano
they work at a university.|eles trabalham em uma universidade
joseph was not at work yesterday.|o frederico nao foi na sexta feira
that is the best offer i have ever received.|esse e o ponto de chegar ao habito de leite
my oldest sister lives in the uk.|meu filho mais cedo da faculdade
when can we practice singing?|quando nos devemos fazer ?
this is a nice apartment too.|este e um grande bacana
my parents spoke spanish at home.|meus pais estao a habitar em casa de jazz
my children love winter.|meus filhos estao a tocar os seus
pop is my favorite kind of music.|alguem e a minha graduacao em frente a mais salada
is she a good soccer player?|ela e uma boa cantora de um coisas ?
have you guys ever gone camping?|voces ja surfaram ?
the answer is on page eighty five.|a resposta esta na pagina no horario
i will find a job tomorrow.|eu irei achar uma obra bem
that is a really good movie.|esse e uma linda de bom
how long will it take to cross the ocean?|quanto tempo levara pra cobrir o premio ?
did he do it by himself?|ele fez isso musica ?
what time is dinner?|que horas que ele esta a janta ?
will they exercise tomorrow?|eles cozinham ?
he hasn't met my grandma yet.|ele nao encontrou a minha pulseira ainda
i will lose my house.|eu irei ganhar minha casa
they've never had a boring party.|eles nunca tiveram um fotos !
we're going to egypt next year.|nos vamos para o egito no proximo ano
can she pick up all of those plates?|ela pode pegar a todas as caixas ?
has the mouse packed its suitcase yet?|a loja de livros na mala ?
are you busy tonight?|voce esta ocupado essa ?
the flower shop is just before the mall.|a floricultura e de atravessar o centro de compras
there is a golden key that opens this box.|ha uma multidao de comboio neste local
i had a chat with my best friend.|eu tomei um papo com meu prato
my grandfather gave me his watch.|meu avo me deixam o seu computador
there are four banks on this street.|ha tres arvores nessa rua
the restaurant is inside the hospital.|o hotel esta no lado do livro
can i sit here?|eu posso sentar aqui ?
i will pay in cash.|eu vou acessar em demasia quando
i am not as tired as you.|eu nao estou tao cansada como voce
the bear traveled to japan by ship.|o urso viajou para o snowboarding de transporte
the dog ate my burger!|o cachorro comeu mel por anos
why did you stay at that job?|por que e que voce esta a respeito de lingua que ele esta a minha filha ?
tom has lost every match since then.|o seu trem comeu todos os finais de , faz favor
do they have jobs?|eles tem trabalhos ?
the vegetables from the supermarket are not very fresh.|os vegetais estao a rata e vinho na resposta
i am getting my diploma next week.|eu estou a pegar o meu certificado na semana passada
we might win this game.|nos podemos e capaz de viver essa curtir ele
let's make omelets for breakfast.|vamos cozinhar carne de cafe da manha
the skirts are too expensive.|a coberta tem grandes demais
i remember when i started to cover this subject.|eu me fui quando eu recordei de crer que eu apaixonar me apaixonar essa legal
you can't take a train from here.|voce nao e capaz de metro deste lugar
what i want is for them to talk, they are brothers.|que quero alguma para fazer as escadas
the mouse learned a lot of songs in spanish.|o rato se um bocado de dolares em espanhol
normally, men are taller than women.|usualmente , sao mais investigacao
her pants are too small.|sua calca esta muito grandes
he is going to ireland to visit his parents, isn't he?|ele vai comecar a partir de seus estudos
mary's neck hurts when she reads.|a emma esta a comer corrida pois ela conhecesse as filhas
who walked with you to the museum?|quem enviou se a ir para o museu ?
what part of africa are you from?|qual e o tamanho da melhor ?
it is a new section.|e um novo novo
he assumes we are human.|ele supoe que nos somos humanos
those shoes are expensive.|esses sapatos sao caros
there was a great lack of rice that year.|havia uma coberta otima de trabalho
how much is the rent?|quanto e o aluguel ?
julia likes music.|a ana gosta de cozinheira
the plane will be taking off as soon as possible.|o aviao estara a descolar em excesso em excesso em excesso
where is the concert?|onde esta a teve o musica ?
can you give me another example?|voce pode me dar um pouco de um cafe ?
the boss knew about the problems.|o superior sabia do calice por forma
my favorite jacket.|minha irma favorito
i do not think so.|eu nao penso muito
smoking is bad for you.|o ruan e grave para fazer
we stopped dancing at 1 a.m.|nos estudamos idiomas da casa
are you making a sandwich now?|tu estas a ir almocar neste momento ?
we can try.|nos podemos ajudar
he's looking down.|ele esta a comer uma questao
don't put the bananas in the fridge.|nao ponha o video no frigorifico
we do not use the scissors.|nos nao estamos a usar a mesma ?
tax is not included.|imposto nao esta limpos
yesterday we did not drink wine.|ontem nao companheiras nao toma
the woman with long hair.|a mulher com cabelo preto
i haven't found my bracelet yet.|eu nao decidi ainda
