they have free coffee.|possuem café gratuito.
please, do not wake her now.|por gentileza, não acorde ela agora.
there's a hotel close to the village.|tem um hotel próximo do povoado.
i want to see the world.|eu desejo conhecer o mundo.
do they like each other?|gostam uns dos outros?
both places.|ambas localizações.
is that your home address?|este é o endereço de sua residência?
her life was really interesting.|a sua vida era verdadeiramente atraente.
i have already heard that song.|já escutei esse som.
i have a problem.|possuo uma adversidade.
he's not going to come again.|ele não retorna aqui outra vez.
that's one of my favorite memories.|aquela é uma de minhas memórias preferidas.
i need a bigger size.|eu estou a precisar duma maior medida.
would you like to try on those shoes?|vocês gostariam de provar esses calçados?
they'll go fishing again.|eles vão ir pescar mais uma vez.
what do they look like?|com quem elas são parecidas?
the bowls are in the cabinet on the right.|os potes encontram-se no armário da direita.
he creates software for a computer company.|ele inventa programa pra uma sociedade de computador.
how much is the tax?|qual é o valor do encargo?
she has to finish this version by next monday.|ela deve finalizar esta versão próxima segunda-feira.
they work at a university.|elas laboram numa universidade.
joseph was not at work yesterday.|o joseph não estava no emprego ontem.
that is the best offer i have ever received.|aquela é a melhor oferta que eu já obtive.
my oldest sister lives in the uk.|minha irmã mais velha está residindo no reino unido.
when can we practice singing?|que horas podemos cantar?
this is a nice apartment too.|esse apartamento também é fixe.
my parents spoke spanish at home.|o meus genitores falavam em espanhol em casa.
my children love winter.|minhas filhas amam inverno.
pop is my favorite kind of music.|pop é meu gênero de música preferido.
i've lost my identification card.|perdi a minha identificação.
is she a good soccer player?|ela é uma futebolista boa?
have you guys ever gone camping?|alguma vez acamparam?
the answer is on page eighty five.|a resposta fica na folha número 85.
i will find a job tomorrow.|vou arrumar um serviço amanhã.
that is a really good movie.|aquele verdadeiramente é um bom filme.
how long will it take to cross the ocean?|quanto tempo vai levar pra cortar o oceano?
did he do it by himself?|ele a preparou só?
what time is dinner?|a janta é em qual horário?
will they exercise tomorrow?|amanhã eles irão praticar atividades físicas?
he hasn't met my grandma yet.|ele não encontrou ainda a minha vó.
i will lose my house.|vou perder meu lar.
they've never had a boring party.|nunca eles fizeram uma festa chata.
we're going to egypt next year.|nós iremos pro egito próximo ano.
can she pick up all of those plates?|ela poderia levantar esses pratos todos?
has the mouse packed its suitcase yet?|a camundongo fez sua maleta já?
are you busy tonight?|hoje à noite estão vocês ocupados?
the flower shop is just before the mall.|a venda de flores fica um pouco antes do centro de compras.
there is a golden key that opens this box.|há uma chave de ouro que destranca essa caixa.
i had a chat with my best friend.|papeei com o meu melhor camarada.
my grandfather gave me his watch.|o meu vô entregou a mim seu relógio.
there are four banks on this street.|existem 4 bancos nesta estrada.
the restaurant is inside the hospital.|a cafeteria se situa lá dentro do hospital.
can i sit here?|eu consigo me sentar aqui?
i am here to pay a debt.|estou aqui pra sanar um débito.
i will pay in cash.|irei pagar em dinheiro.
i am not as tired as you.|não estou cansada quanto você.
the bear traveled to japan by ship.|a ursa viajou de navio ao japão.
the dog ate my burger!|a cachorra comeu o meu sanduíche!
why did you stay at that job?|porque ficaste naquele ofício?
tom has lost every match since then.|thomas tem perdido toda partida desde então.
he became the president in 2010.|ele veio a ser o presidente em 2010.
do they have jobs?|possuem eles empregos?
the vegetables from the supermarket are not very fresh.|os legumes do supermercado não são bastante frescos.
i am getting my diploma next week.|eu receberei o meu diploma na semana que vem.
we might win this game.|nós podemos vencer esta brincadeira.
let's make omelets for breakfast.|vamos fazer fritadas para desjejum.
